…tiquettes de lignes;Nombre de title
Reiner Knizia;8
Vlaada Chv√°til;8
Antoine Bauza;7
Uwe Rosenberg;7
Richard Garfield;5
Donald X. Vaccarino;5
Phil Walker-Harding;4
Matt Leacock;4
Jamey Stegmaier;4
Ted Alspach;3
Alexander Pfister;3
Andreas Seyfarth;3
Bruno Cathala;3
Stefan Feld;3
Wolfgang Warsch;3
R√©gis Bonness√©e;2
Asger Harding Granerud;2
Rob Daviau;2
Bruce Glassco;2
Nate French;2
Bruno Faidutti;2
Richard Borg;2
Carl Chudyk;2
Simone Luciani;2
Corey Konieczka;2
Thomas Sing;2
Don Eskridge;2
Paul Dennen;2
Eric M. Lang;2
R√ºdiger Dorn;2
Hjalmar Hach;2
Richard Launius;2
Isaac Childres;2
S J Macdonald;2
Jens Dr√∂gem√ºller;2
Alan R. Moon;2
Bernd Brunnhofer;2
Thomas Lehmann;2
Michael Kiesling;2
Mike Elliott;2
Marc Andr√©;2
Nikki Valens;1
Seiji Kanai;1
Adrian Adamescu;1
Fr√©deric Moyersoen;1
Cathy Brigg;1
Fran√ßois Romain;1
Andreas Pelikan;1
Frank West;1
Ryan Lambert;1
Friedemann Friese;1
Stefano Castelli;1
G√ºnter Cornett;1
Benoit Turpin;1
Gavan Brown;1
Paul Peterson;1
Gord!;1
Dennis K. Chan;1
Helmut Ohley;1
Alexandr Ushan;1
Henry Audubon;1
S√©rgio Halaban;1
Chad Jensen;1
Sid Sackson;1
Ignacy Trzewiczek;1
Steve Jackson (I);1
Inka Brand;1
Tommaso Battista;1
Christian T. Petersen;1
Molly Johnson;1
Jacob Fryxelius;1
Paolo Mori;1
James A. Wilson;1
Peter Lee;1
Ananda Gupta;1
Pier√¥;1
Jay Little;1
Randy Flynn;1
Jean-Louis Roubira;1
Carl de Visser;1
Christophe Raimbault;1
Ed Carter (III);1
Joanna Kijanka;1
S√©bastien Dujardin;1
John D. Clair;1
Sean Fletcher;1
John Fiorillo;1
Seth Jaffee;1
John Yianni;1
Stefan Dorra;1
Jonathan Gilmour;1
Steffen Bogen;1
Jordy Adan;1
Emiliano Sciarra;1
Josh Dillon;1
Thorsten Gimmler;1
Jules Messaud;1
Touko Tahkokallio;1
Julian Courtland-Smith;1
Mike Selinker;1
Julius Abrea;1
Daniel Clark (I);1
Juma Al-JouJou;1
Oleksandr Nevskiy;1
Justin Kemppainen;1
Daniele Tascini;1
Kasper Lapp;1
Peggy Chassenet;1
Kei Kajino (Ê¢∂Èáé Ê°Ç);1
Peter McPherson;1
Keith Matejka;1
Philippe Keyaerts;1
Kevin Lanzing;1
R. Eric Reuss;1
Kevin Russ;1
Dirk Henn;1
Kevin Wilson;1
Rapha√´l Guiton;1
Klaus Teuber;1
Reiner Stockhausen;1
Klaus-J√ºrgen Wrede;1
Andreas Steding;1
Klemens Kalicki;1
Rikki Tahta;1
Kristian Amundsen √òstby;1
Robert Dougherty;1
Wolfgang Panning;1
Elizabeth Hargrave;1
(Uncredited);1
S√©bastien Pauchon;1
Mac Gerdts;1
Scott Almes;1
Manny Vega;1
Sebastian Bleasdale;1
Virginio Gigli;1
Serge Laget;1
Christopher Badell;1
Shem Phillips;1
Wei-Hwa Huang;1
Elwen;1
Wolfgang Kramer;1
Emerson Matsuuchi;1
Andrea Chiarvesio;1
Steffen Benndorf;1
Maxime Tardif;1
Steve Finn;1
Michael Boggs;1
Sydney Engelstein;1
Cole Wehrle;1
Thomas Dagenais-Lesp√©rance;1
Michael Palm;1
Fabien Riffaud;1
Michael Schacht;1
Tobey Ho;1
Michal Mike≈°;1
Tory Niemann;1
Mike Atkinson;1
Urs Hostettler;1
Mike Boxleiter;1
Fr√©d√©ric Gu√©rard;1
Adam Kwapi≈Ñski;1
Vladim√≠r Such√Ω;1
Martin Wallace;1
William Attia;1
Masao Suganuma;1
Bill Eberle;1
Mathias Wigge;1
Lo√Øc Billiau;1
Ludovic Roudy;1
Total gÈnÈral;250
